Profit,HH,Input,Score,ADX_Main,ADX_SMA,Dist_ADX,Dist_Step,H1,L1,O1,C1,V1,H2,L2,O2,C2,V2,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23
0,1,0.999922941,0.50599389,1.198777987,-0.770594128,10.15533905,-1.731658446,100.0154107,99.96147326,100,99.9845893,30.80291971,100.0154107,99.82277701,99.88441979,100,100,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0.999717637,0.50004514,0.009027956,-2.823626049,9.688833978,-1.712370975,100.0770238,99.98459524,100,99.99229762,61.9266055,100.0462143,99.86905954,99.94608334,100,100,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,3,1.000641881,0.510877487,2.17549733,6.41881483,8.860997477,-1.745824032,100.0924499,99.9614792,100.0077042,100.0847458,52.02156334,100.0077042,99.81510015,100.0077042,100,100,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0
1,4,1.000435953,0.503875884,0.77517684,4.359533273,6.683977997,-1.711011996,100.0846414,99.9692213,100,100.0615574,55.48128342,100.0307787,99.95383195,99.96152662,100,100,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0
0,5,1.000435953,0.500384725,0.076944956,4.359533273,4.475114304,-1.741771763,100.0461538,99.91538462,100,100.0307692,68.7007874,100.0384615,99.94615385,100.0230769,100,100,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
0,5,1.000768758,0.502122973,0.424594605,7.687576876,3.246360459,-1.6323552,100.1153491,99.97693018,100,100.1076592,224.3553009,100.0153799,99.88465088,99.96924023,100,100,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0
0,6,1.001100392,0.521274667,4.254933401,11.00391535,1.670835132,-1.495398773,100.1766784,100,100,100.1689968,171.00894,100.0076817,99.86941158,99.8924566,100,100,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0
0,13,0.997633867,0.507426276,1.485255178,-23.66133429,0.693827619,-1.064191802,100.0539416,99.57617323,99.99229406,99.63782076,87.72538141,100.0539416,99.6455267,99.97688218,100,100,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1
1,14,1.002495305,0.522773302,4.554660483,24.95305225,1.585661749,-0.401847575,100.4326997,99.93045897,100,100.3708855,146.5913234,100.2704373,99.90727863,100.1699892,100,100,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1
0,16,0.999377964,0.502561266,0.512253232,-6.220356115,3.060948888,-1.157706372,100.0931749,99.48753785,100,99.79812097,143.8675022,100.2795248,99.82141471,100.0232937,100,100,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1
