Profit,Diff Step,Last Swing Bars,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
0,1.3,0,100.0831486,99.96674058,100.0110865,100,100,100.1053215,100.0498891,99.95011086,99.96119734,100.0055432,117.6122931,100.1133844,99.98891353,99.84478936,99.88913525,99.96119734,140.6619385,100.1244709,1,0,0,0,1,1,1,0,0,0,1
0,4.733333333,0,100.1436147,99.93923995,99.97790544,100,100,100.0316354,100.0276182,99.88952718,99.90057446,99.97238179,101.1418944,100.0291247,99.93371631,99.75143615,99.79010163,99.90057446,62.78547361,100.0366569,0,0,1,0,1,1,0,0,1,1,1
0,4.533333333,0,100.0275771,99.98345375,100.0110308,100,100,100.0446247,100.0330925,99.98896917,100,100.0165462,124.1635688,100.0471317,100.0330925,100,100.0330925,100.0055154,131.9702602,100.0481345,0,0,0,0,0,0,1,0,0,0,0
0,1.583333333,0,100.0166113,99.97231451,99.9833887,100,100,100.025672,100.0332226,99.97231451,100.0276855,99.9833887,99.66386555,100.0317125,100.055371,99.9833887,100,100.0221484,98.65546218,100.0392631,0,0,0,1,0,0,0,1,1,0,1
0,5.916666667,0,100,99.95494734,99.96057893,100,100,100.0496603,100,99.92678944,99.97747367,99.96057893,142.4131627,100.0660431,99.97747367,99.85357887,99.90426311,99.97747367,148.0804388,100.0854977,1,0,0,0,0,1,0,1,1,0,0
0,2.133333333,0,100.0225479,99.96617813,100.0225479,100,100,100.0532951,100.0225479,99.93799324,99.96054115,100.0225479,104.7531993,100.0548324,99.98308906,99.9210823,99.97181511,99.96054115,112.0658135,100.0579071,0,1,0,0,0,1,1,0,0,0,1
1,34.13333333,0,100.0261233,99.2816092,99.59508882,100,100,100.2944809,100.1371473,99.59508882,100.0979624,99.60161964,71.75728335,100.2523273,100.3591954,99.9738767,100.3591954,100.0914316,68.84394136,99.81238719,1,0,0,1,0,0,0,1,0,0,1
0,6.1,0,100.03906,99.80470021,99.88282013,100,100,100.0301827,99.90235011,99.71356032,99.74611028,99.87631014,106.9268293,100.0520799,99.90235011,99.66148037,99.70054033,99.75262027,151.5121951,100.0846299,1,1,1,0,0,1,0,0,1,1,1
0,8.866666667,0,100.1167694,99.7340253,99.75348686,100,100,100.0813847,100,99.72753811,99.896205,99.75997405,52.8702011,100.0583847,100.0778463,99.87674343,100.0778463,99.87674343,39.92687386,99.76174328,0,0,0,1,0,0,0,1,1,0,1
0,5.9,0,100.313275,100,100.313275,100,100,100.5885773,100.3524344,100.1631641,100.1631641,100.313275,58.04455446,100.6152769,100.2414828,99.92820781,100.0652656,100.1566375,106.4665842,100.6455364,0,1,0,0,0,0,1,0,0,0,1
0,15.4,0,100.1415337,99.90349974,100.0128667,100,100,100.0058485,100.2123006,99.47889861,99.50463201,100,145.5606091,100.0239789,99.74909933,99.31806485,99.64616572,99.49819866,125.2719003,100.0263183,1,0,0,0,0,1,1,0,1,0,1
1,4.616666667,0,100.1546591,99.91622632,99.94844696,100,100,100.0685421,99.97422348,99.7808996,99.80023199,99.92911458,45.11819116,100.0685421,99.90333806,99.56824333,99.74223482,99.80023199,105.4984584,100.0878745,0,0,1,0,1,1,0,0,1,1,1
0,17.58333333,0,100.0253277,99.93034889,99.94301273,100,100,100.1513904,100.0569873,99.90502121,100.0126638,99.94301273,125.8449304,100.1617518,100.0506554,99.89868929,99.89868929,100.0063319,143.5387674,100.1692349,1,0,0,0,0,1,0,1,0,0,0
1,11.73333333,0,100.044245,99.96207572,99.98103786,100,100,100.0902138,100.0379243,99.94311358,100.0063207,99.97471715,92.93478261,100.0752739,100.0568864,99.87990645,99.89886859,100.0126414,175.8152174,100.0603341,1,0,0,0,0,1,0,1,1,0,1
0,2.166666667,0,100.0631712,99.96209728,99.98104864,100,100,100.1062425,100.0126342,99.75994946,99.77890082,99.97473152,128.1879195,100.1228967,99.91156033,99.72836387,99.91156033,99.77890082,248.8255034,100.1424223,0,1,1,0,1,1,0,0,0,1,1
0,4.033333333,0,100.100991,99.81695386,99.86113741,100,100,100.0298382,100.0252477,99.72227482,100,99.87376128,203.8657172,100.0281168,100.0883671,99.97475226,100.0631194,100.0063119,74.97456765,99.89441853,0,0,0,0,0,0,0,1,1,0,1
